entry_id,label_base,prediction_base,label_model,prediction_model,label,abs_error_base,abs_error_model,absolute_error_improvement,max_rna_global_identity,max_ligand_tanimoto,pair_min_similarity,setting,split,run_seed,model
1327,6.272784233093262,6.176354885101318,6.272784233093262,5.718300819396973,6.272784233093262,0.09642934799194336,0.5544834136962891,-0.4580540657043457,0.8333333333333334,0.1666666666666666,0.1666666666666666,cold_rna,split2026,1,Contact500 pretraining without SCA
1288,6.588380336761475,5.864509105682373,6.588380336761475,5.792685508728027,6.588380336761475,0.7238712310791016,0.7956948280334473,-0.0718235969543457,0.4907407407407407,0.1777777777777777,0.1777777777777777,cold_rna,split2026,1,Contact500 pretraining without SCA
963,5.853871822357178,6.495835304260254,5.853871822357178,6.554150104522705,5.853871822357178,0.6419634819030762,0.7002782821655273,-0.05831480026245117,0.5084745762711864,0.3260869565217391,0.3260869565217391,cold_rna,split2026,1,Contact500 pretraining without SCA
1017,5.022276401519775,5.094340801239014,5.022276401519775,4.519274711608887,5.022276401519775,0.07206439971923828,0.5030016899108887,-0.4309372901916504,0.5833333333333333,0.1632653061224489,0.1632653061224489,cold_rna,split2026,1,Contact500 pretraining without SCA
1174,4.71669864654541,6.001644134521484,4.71669864654541,5.908207416534424,4.71669864654541,1.2849454879760742,1.1915087699890137,0.09343671798706055,0.5806451612903225,0.2424242424242424,0.2424242424242424,cold_rna,split2026,1,Contact500 pretraining without SCA
1889,6.494850158691406,8.078697204589844,6.494850158691406,7.634372234344482,6.494850158691406,1.5838470458984375,1.1395220756530762,0.44432497024536133,0.8266666666666667,1.0,0.8266666666666667,cold_rna,split2026,1,Contact500 pretraining without SCA
1846,6.619788646697998,6.367283821105957,6.619788646697998,6.752788543701172,6.619788646697998,0.252504825592041,0.13299989700317383,0.11950492858886719,0.5319148936170213,0.1739130434782608,0.1739130434782608,cold_rna,split2026,1,Contact500 pretraining without SCA
457,5.337242126464844,10.797483444213867,5.337242126464844,16.227500915527344,5.337242126464844,5.460241317749023,10.8902587890625,-5.430017471313477,0.3052208835341365,0.2407407407407407,0.2407407407407407,cold_rna,split2026,1,Contact500 pretraining without SCA
1042,5.031517028808594,5.028923034667969,5.031517028808594,5.055397987365723,5.031517028808594,0.002593994140625,0.023880958557128906,-0.021286964416503906,0.6111111111111112,0.1909090909090909,0.1909090909090909,cold_rna,split2026,1,Contact500 pretraining without SCA
1434,4.698969841003418,7.432378768920898,4.698969841003418,7.171015739440918,4.698969841003418,2.7334089279174805,2.4720458984375,0.26136302947998047,0.5254237288135593,0.1720430107526881,0.1720430107526881,cold_rna,split2026,1,Contact500 pretraining without SCA
1268,4.0,6.527204036712647,4.0,6.746798515319824,4.0,2.5272040367126474,2.746798515319824,-0.21959447860717685,0.56,0.1891891891891892,0.1891891891891892,cold_rna,split2026,1,Contact500 pretraining without SCA
1397,4.560667514801025,5.169386386871338,4.560667514801025,5.229824542999268,4.560667514801025,0.6087188720703125,0.6691570281982422,-0.06043815612792969,0.5074626865671642,0.3737373737373737,0.3737373737373737,cold_rna,split2026,1,Contact500 pretraining without SCA
1867,5.387216091156006,6.6430864334106445,5.387216091156006,6.065738201141357,5.387216091156006,1.2558703422546387,0.6785221099853516,0.5773482322692871,0.5357142857142857,0.180722891566265,0.180722891566265,cold_rna,split2026,1,Contact500 pretraining without SCA
2101,8.42021656036377,9.516374588012695,8.42021656036377,10.307080268859863,8.42021656036377,1.0961580276489258,1.8868637084960938,-0.790705680847168,0.1366931308249913,0.1666666666666666,0.1366931308249913,cold_rna,split2026,1,Contact500 pretraining without SCA
1894,3.823908805847168,7.319632053375244,3.823908805847168,7.112756252288818,3.823908805847168,3.495723247528076,3.2888474464416504,0.20687580108642578,0.8266666666666667,0.3518518518518518,0.3518518518518518,cold_rna,split2026,1,Contact500 pretraining without SCA
1854,5.638272285461426,6.822086811065674,5.638272285461426,7.486097812652588,5.638272285461426,1.183814525604248,1.847825527191162,-0.6640110015869141,0.5319148936170213,0.225,0.225,cold_rna,split2026,1,Contact500 pretraining without SCA
1945,6.2441253662109375,6.546682357788086,6.2441253662109375,7.38046407699585,6.2441253662109375,0.30255699157714844,1.136338710784912,-0.8337817192077637,0.5357142857142857,0.238095238095238,0.238095238095238,cold_rna,split2026,1,Contact500 pretraining without SCA
1382,3.314258337020874,6.606955528259277,3.314258337020874,6.032504081726074,3.314258337020874,3.2926971912384033,2.7182457447052,0.5744514465332031,0.5074626865671642,0.4805194805194805,0.4805194805194805,cold_rna,split2026,1,Contact500 pretraining without SCA
778,5.958607196807861,6.711853504180908,5.958607196807861,6.157160758972168,5.958607196807861,0.7532463073730469,0.19855356216430664,0.5546927452087402,0.5714285714285714,0.1755725190839694,0.1755725190839694,cold_rna,split2026,1,Contact500 pretraining without SCA
